customer_id,segment,loyalty_tier,created_ts
C000001,Value,None,2024-12-05 00:00:00
C000002,Enthusiast,Bronze,2022-04-04 00:00:00
C000003,Professional,None,2024-02-25 00:00:00
C000004,Value,Bronze,2024-01-02 00:00:00
C000005,Casual,Bronze,2020-01-23 00:00:00
C000006,Professional,None,2024-05-02 00:00:00
C000007,Casual,None,2023-04-18 00:00:00
C000008,Enthusiast,Gold,2020-12-14 00:00:00
C000009,Casual,Silver,2024-06-05 00:00:00
C000010,Professional,None,2020-06-09 00:00:00
C000011,Professional,Bronze,2021-09-06 00:00:00
C000012,Professional,Silver,2022-05-27 00:00:00
C000013,Professional,Silver,2024-10-04 00:00:00
C000014,Enthusiast,Bronze,2021-09-16 00:00:00
C000015,Enthusiast,Bronze,2020-04-06 00:00:00
C000016,Enthusiast,None,2020-02-26 00:00:00
C000017,Casual,Silver,2022-08-04 00:00:00
C000018,Value,None,2023-03-22 00:00:00
C000019,Enthusiast,None,2021-05-07 00:00:00
C000020,Enthusiast,Bronze,2023-06-23 00:00:00
C000021,Enthusiast,Bronze,2021-03-09 00:00:00
C000022,Casual,Bronze,2021-03-11 00:00:00
C000023,Casual,Bronze,2022-10-12 00:00:00
C000024,Value,None,2023-10-10 00:00:00
C000025,Enthusiast,None,2024-05-04 00:00:00
C000026,Casual,Silver,2022-07-07 00:00:00
C000027,Enthusiast,Platinum,2024-03-17 00:00:00
C000028,Casual,Silver,2020-12-21 00:00:00
C000029,Value,Bronze,2021-08-11 00:00:00
C000030,Enthusiast,None,2022-07-20 00:00:00
C000031,Enthusiast,Bronze,2023-08-31 00:00:00
C000032,Casual,Platinum,2020-04-29 00:00:00
C000033,Casual,Platinum,2024-02-16 00:00:00
C000034,Professional,Bronze,2022-09-16 00:00:00
C000035,Value,Silver,2024-11-11 00:00:00
C000036,Casual,Platinum,2022-09-20 00:00:00
C000037,Casual,Platinum,2024-05-13 00:00:00
C000038,Professional,Silver,2022-01-22 00:00:00
C000039,Value,Bronze,2020-04-28 00:00:00
C000040,Value,Bronze,2021-09-06 00:00:00
C000041,Value,Bronze,2022-10-31 00:00:00
C000042,Casual,Silver,2023-06-25 00:00:00
C000043,Casual,None,2024-04-19 00:00:00
C000044,Enthusiast,Silver,2022-02-26 00:00:00
C000045,Professional,Silver,2022-12-22 00:00:00
C000046,Casual,Bronze,2023-08-24 00:00:00
C000047,Value,None,2022-06-11 00:00:00
C000048,Enthusiast,Gold,2021-10-25 00:00:00
C000049,Casual,None,2024-01-25 00:00:00
C000050,Professional,Bronze,2022-07-23 00:00:00
C000051,Casual,Silver,2020-07-10 00:00:00
C000052,Casual,Bronze,2023-06-10 00:00:00
C000053,Casual,None,2020-02-14 00:00:00
C000054,Value,None,2023-12-31 00:00:00
C000055,Casual,Bronze,2020-05-20 00:00:00
C000056,Enthusiast,None,2021-04-22 00:00:00
C000057,Value,None,2024-12-12 00:00:00
C000058,Professional,Bronze,2021-03-26 00:00:00
C000059,Value,Bronze,2023-02-28 00:00:00
C000060,Value,Bronze,2022-06-11 00:00:00
C000061,Professional,None,2024-12-08 00:00:00
C000062,Casual,Silver,2020-05-06 00:00:00
C000063,Value,None,2023-04-20 00:00:00
C000064,Value,Bronze,2021-01-26 00:00:00
C000065,Casual,Bronze,2022-12-08 00:00:00
C000066,Casual,None,2023-05-04 00:00:00
C000067,Casual,Silver,2021-10-04 00:00:00
C000068,Professional,None,2023-08-25 00:00:00
C000069,Casual,Bronze,2024-07-09 00:00:00
C000070,Professional,Bronze,2020-04-16 00:00:00
C000071,Casual,Bronze,2023-08-21 00:00:00
C000072,Enthusiast,None,2024-02-27 00:00:00
C000073,Enthusiast,Bronze,2023-01-29 00:00:00
C000074,Professional,Bronze,2021-08-20 00:00:00
C000075,Professional,None,2023-06-03 00:00:00
C000076,Value,Bronze,2021-07-08 00:00:00
C000077,Casual,Bronze,2020-08-27 00:00:00
C000078,Enthusiast,None,2023-07-16 00:00:00
C000079,Enthusiast,None,2021-06-26 00:00:00
C000080,Casual,Bronze,2023-07-11 00:00:00
C000081,Professional,Bronze,2022-01-31 00:00:00
C000082,Professional,Bronze,2024-10-01 00:00:00
C000083,Casual,None,2024-12-21 00:00:00
C000084,Casual,None,2023-05-05 00:00:00
C000085,Professional,Bronze,2023-11-15 00:00:00
C000086,Professional,Silver,2020-03-29 00:00:00
C000087,Casual,Silver,2023-04-24 00:00:00
C000088,Casual,Bronze,2023-07-10 00:00:00
C000089,Professional,Gold,2022-12-20 00:00:00
C000090,Professional,Silver,2020-10-08 00:00:00
C000091,Enthusiast,Bronze,2023-10-14 00:00:00
C000092,Casual,None,2021-04-27 00:00:00
C000093,Enthusiast,Gold,2022-07-06 00:00:00
C000094,Enthusiast,Gold,2023-09-21 00:00:00
C000095,Enthusiast,Silver,2020-11-04 00:00:00
C000096,Value,Silver,2021-07-31 00:00:00
C000097,Casual,Bronze,2023-06-23 00:00:00
C000098,Professional,None,2020-01-20 00:00:00
C000099,Enthusiast,None,2023-11-21 00:00:00
C000100,Casual,None,2020-11-14 00:00:00
C000101,Enthusiast,Silver,2023-09-22 00:00:00
C000102,Professional,Silver,2024-10-17 00:00:00
C000103,Enthusiast,Bronze,2023-10-20 00:00:00
C000104,Enthusiast,Bronze,2023-01-03 00:00:00
C000105,Casual,None,2024-10-21 00:00:00
C000106,Value,Silver,2022-05-10 00:00:00
C000107,Enthusiast,None,2023-08-02 00:00:00
