snapshot_date,store_id,sku,on_hand,on_order,cost
2024-01-01,S001,SKU00123,28,24,17.11
2024-01-01,S001,SKU00005,28,7,5.18
2024-01-01,S001,SKU00085,41,19,21.5
2024-01-01,S001,SKU00170,38,18,19.07
2024-01-01,S001,SKU00356,23,17,6.76
2024-01-01,S001,SKU00275,13,9,24.1
2024-01-01,S001,SKU00053,9,10,26.92
2024-01-01,S001,SKU00064,40,15,14.1
2024-01-01,S001,SKU00263,36,14,12.54
2024-01-01,S001,SKU00047,24,21,30.28
2024-01-01,S001,SKU00228,34,8,42.12
2024-01-01,S001,SKU00141,55,28,34.29
2024-01-01,S001,SKU00119,37,7,21.19
2024-01-01,S001,SKU00280,50,16,11.07
2024-01-01,S001,SKU00040,42,21,18.22
2024-01-01,S001,SKU00358,39,21,20.44
2024-01-01,S001,SKU00296,34,16,18.93
2024-01-01,S001,SKU00006,50,12,22.21
2024-01-01,S001,SKU00128,35,18,12.06
2024-01-01,S001,SKU00080,46,12,21.0
2024-01-01,S001,SKU00254,27,13,12.16
2024-01-01,S001,SKU00400,45,23,16.59
2024-01-01,S001,SKU00062,42,21,21.8
2024-01-01,S001,SKU00092,43,11,6.71
2024-01-01,S001,SKU00270,37,12,23.19
2024-01-01,S001,SKU00194,33,24,15.09
2024-01-01,S001,SKU00233,34,11,14.08
2024-01-01,S001,SKU00353,32,14,28.84
2024-01-01,S001,SKU00147,49,19,26.65
2024-01-01,S001,SKU00133,43,10,10.11
2024-01-01,S001,SKU00253,10,22,19.63
2024-01-01,S001,SKU00338,28,21,23.32
2024-01-01,S001,SKU00075,5,12,19.82
2024-01-01,S001,SKU00152,39,13,34.48
2024-01-01,S001,SKU00151,72,12,7.16
2024-01-01,S001,SKU00086,34,6,27.42
2024-01-01,S001,SKU00349,34,15,11.12
2024-01-01,S001,SKU00107,48,20,27.98
2024-01-01,S001,SKU00054,45,15,12.05
2024-01-01,S001,SKU00186,52,5,24.0
2024-01-01,S001,SKU00048,28,10,35.43
2024-01-01,S001,SKU00043,42,9,24.13
2024-01-01,S001,SKU00385,39,29,24.15
2024-01-01,S001,SKU00298,69,0,11.72
2024-01-01,S001,SKU00364,48,17,20.03
2024-01-01,S001,SKU00222,34,16,21.69
2024-01-01,S001,SKU00295,22,16,21.15
2024-01-01,S001,SKU00173,39,15,24.41
2024-01-01,S001,SKU00078,41,2,9.74
2024-01-01,S001,SKU00335,58,6,10.25
2024-01-01,S001,SKU00060,30,15,30.63
2024-01-01,S001,SKU00126,47,18,25.54
2024-01-01,S001,SKU00340,39,23,14.8
2024-01-01,S001,SKU00284,30,13,20.24
2024-01-01,S001,SKU00236,47,15,14.52
2024-01-01,S001,SKU00223,53,26,14.14
2024-01-01,S001,SKU00168,41,7,18.6
2024-01-01,S001,SKU00393,76,30,7.6
2024-01-01,S001,SKU00112,43,4,17.88
2024-01-01,S001,SKU00227,40,15,38.72
2024-01-01,S002,SKU00322,65,15,9.39
2024-01-01,S002,SKU00369,33,19,27.28
2024-01-01,S002,SKU00242,42,11,23.88
2024-01-01,S002,SKU00061,19,20,13.6
2024-01-01,S002,SKU00087,39,10,9.32
2024-01-01,S002,SKU00303,19,14,27.57
2024-01-01,S002,SKU00337,28,8,20.41
2024-01-01,S002,SKU00138,46,10,9.29
2024-01-01,S002,SKU00032,49,21,26.13
2024-01-01,S002,SKU00070,33,14,19.96
2024-01-01,S002,SKU00072,37,12,22.01
2024-01-01,S002,SKU00249,45,10,14.24
2024-01-01,S002,SKU00230,29,6,28.51
2024-01-01,S002,SKU00170,41,18,19.07
