order_id,order_line_id,sku,qty,unit_price,gross_sales,promo_id,discount_amt,net_sales
O0000001,O0000001-1,SKU00016,1,33.83,33.83,,0.0,33.83
O0000001,O0000001-2,SKU00189,1,53.14,53.14,,0.0,53.14
O0000001,O0000001-3,SKU00306,1,36.9,36.9,,0.0,36.9
O0000001,O0000001-4,SKU00155,1,44.19,44.19,,0.0,44.19
O0000002,O0000002-1,SKU00001,1,32.38,32.38,,0.0,32.38
O0000002,O0000002-2,SKU00049,1,49.27,49.27,,0.0,49.27
O0000002,O0000002-3,SKU00010,1,32.93,32.93,,0.0,32.93
O0000003,O0000003-1,SKU00301,2,30.77,61.54,,0.0,61.54
O0000004,O0000004-1,SKU00126,2,40.15,80.3,,0.0,80.3
O0000005,O0000005-1,SKU00391,1,57.23,57.23,,0.0,57.23
O0000006,O0000006-1,SKU00307,1,36.83,36.83,,0.0,36.83
O0000007,O0000007-1,SKU00155,1,44.19,44.19,,0.0,44.19
O0000007,O0000007-2,SKU00057,2,34.63,69.26,,0.0,69.26
O0000008,O0000008-1,SKU00232,1,34.95,34.95,,0.0,34.95
O0000008,O0000008-2,SKU00352,1,37.11,37.11,,0.0,37.11
O0000008,O0000008-3,SKU00123,1,28.95,28.95,,0.0,28.95
O0000009,O0000009-1,SKU00213,1,45.05,45.05,,0.0,45.05
O0000009,O0000009-2,SKU00208,1,15.73,15.73,,0.0,15.73
O0000010,O0000010-1,SKU00104,1,73.97,73.97,,0.0,73.97
O0000010,O0000010-2,SKU00225,2,25.36,50.72,,0.0,50.72
O0000011,O0000011-1,SKU00006,1,31.28,31.28,,0.0,31.28
O0000012,O0000012-1,SKU00015,1,66.48,66.48,,0.0,66.48
O0000013,O0000013-1,SKU00352,2,37.11,74.22,,0.0,74.22
O0000013,O0000013-2,SKU00358,2,36.52,73.04,,0.0,73.04
O0000013,O0000013-3,SKU00300,1,29.05,29.05,,0.0,29.05
O0000013,O0000013-4,SKU00179,1,14.26,14.26,,0.0,14.26
O0000014,O0000014-1,SKU00165,1,18.9,18.9,,0.0,18.9
O0000014,O0000014-2,SKU00242,1,41.5,41.5,,0.0,41.5
O0000015,O0000015-1,SKU00023,1,57.22,57.22,,0.0,57.22
O0000015,O0000015-2,SKU00334,1,17.99,17.99,,0.0,17.99
O0000016,O0000016-1,SKU00122,1,22.77,22.77,,0.0,22.77
O0000016,O0000016-2,SKU00152,1,57.95,57.95,,0.0,57.95
O0000016,O0000016-3,SKU00118,1,21.46,21.46,,0.0,21.46
O0000017,O0000017-1,SKU00042,1,72.45,72.45,,0.0,72.45
O0000017,O0000017-2,SKU00308,1,57.22,57.22,,0.0,57.22
O0000017,O0000017-3,SKU00216,1,68.72,68.72,,0.0,68.72
O0000018,O0000018-1,SKU00304,1,28.55,28.55,,0.0,28.55
O0000019,O0000019-1,SKU00156,2,25.39,50.78,,0.0,50.78
O0000019,O0000019-2,SKU00384,1,16.39,16.39,,0.0,16.39
O0000020,O0000020-1,SKU00146,1,60.33,60.33,,0.0,60.33
O0000020,O0000020-2,SKU00199,1,60.64,60.64,,0.0,60.64
O0000021,O0000021-1,SKU00153,1,61.1,61.1,,0.0,61.1
O0000021,O0000021-2,SKU00293,1,70.96,70.96,,0.0,70.96
O0000021,O0000021-3,SKU00135,1,42.96,42.96,,0.0,42.96
O0000022,O0000022-1,SKU00269,1,28.75,28.75,,0.0,28.75
O0000022,O0000022-2,SKU00278,1,54.54,54.54,,0.0,54.54
O0000022,O0000022-3,SKU00187,2,39.15,78.3,,0.0,78.3
O0000022,O0000022-4,SKU00197,1,32.23,32.23,,0.0,32.23
O0000023,O0000023-1,SKU00313,1,49.13,49.13,,0.0,49.13
O0000023,O0000023-2,SKU00165,1,18.9,18.9,,0.0,18.9
O0000023,O0000023-3,SKU00018,1,20.66,20.66,,0.0,20.66
O0000024,O0000024-1,SKU00002,1,57.3,57.3,,0.0,57.3
O0000025,O0000025-1,SKU00202,1,80.2,80.2,,0.0,80.2
