order_id,order_ts,store_id,customer_id,channel
O0000001,2024-01-01 12:46:00,S018,C000217,store
O0000002,2024-01-01 19:16:00,S021,C002402,store
O0000003,2024-01-01 13:33:00,S021,C002218,store
O0000004,2024-01-01 16:48:00,S016,C001518,store
O0000005,2024-01-01 18:01:00,S013,C002492,ecom
O0000006,2024-01-01 10:24:00,S008,C002454,store
O0000007,2024-01-01 12:39:00,S004,C001313,store
O0000008,2024-01-01 12:40:00,S012,C000836,ecom
O0000009,2024-01-01 09:26:00,S012,C000347,ecom
O0000010,2024-01-01 17:45:00,S021,C001470,store
O0000011,2024-01-01 10:29:00,S016,C001284,store
O0000012,2024-01-01 17:56:00,S019,C000794,store
O0000013,2024-01-01 19:00:00,S005,C001427,ecom
O0000014,2024-01-01 09:52:00,S030,C001208,ecom
O0000015,2024-01-01 16:28:00,S015,C000921,store
O0000016,2024-01-01 18:29:00,S009,C001947,ecom
O0000017,2024-01-01 09:19:00,S017,C002060,store
O0000018,2024-01-01 15:21:00,S015,C000322,store
O0000019,2024-01-01 17:17:00,S009,C001749,store
O0000020,2024-01-01 20:08:00,S027,C000340,ecom
O0000021,2024-01-01 16:31:00,S012,C001173,store
O0000022,2024-01-01 20:03:00,S030,C001587,ecom
O0000023,2024-01-01 17:23:00,S024,C001301,store
O0000024,2024-01-01 17:41:00,S013,C000581,ecom
O0000025,2024-01-01 09:13:00,S027,C000188,store
O0000026,2024-01-01 13:53:00,S017,C001812,ecom
O0000027,2024-01-01 18:29:00,S001,C000002,store
O0000028,2024-01-01 14:35:00,S018,C000303,ecom
O0000029,2024-01-01 11:36:00,S009,C000283,store
O0000030,2024-01-01 12:53:00,S018,C000617,store
O0000031,2024-01-01 14:27:00,S022,C001770,store
O0000032,2024-01-01 20:09:00,S011,C001486,store
O0000033,2024-01-01 11:23:00,S029,C001501,ecom
O0000034,2024-01-01 12:45:00,S005,C001664,store
O0000035,2024-01-01 18:35:00,S024,C002134,ecom
O0000036,2024-01-01 11:26:00,S008,C000331,store
O0000037,2024-01-01 14:22:00,S010,C001656,store
O0000038,2024-01-01 20:57:00,S015,C002307,store
O0000039,2024-01-01 12:05:00,S009,C002410,store
O0000040,2024-01-01 18:53:00,S013,C000855,ecom
O0000041,2024-01-01 18:50:00,S021,C001992,store
O0000042,2024-01-01 13:49:00,S015,C000263,store
O0000043,2024-01-01 18:11:00,S025,C000122,ecom
O0000044,2024-01-01 16:22:00,S030,C002464,ecom
O0000045,2024-01-01 11:19:00,S025,C001706,store
O0000046,2024-01-01 10:42:00,S010,C001357,store
O0000047,2024-01-01 11:16:00,S029,C000715,store
O0000048,2024-01-01 11:21:00,S014,C000953,store
O0000049,2024-01-01 15:09:00,S006,C000245,store
O0000050,2024-01-01 13:53:00,S021,C001038,store
O0000051,2024-01-01 17:28:00,S018,C001340,ecom
O0000052,2024-01-01 09:36:00,S002,C002235,store
O0000053,2024-01-01 10:13:00,S027,C002196,store
O0000054,2024-01-01 10:31:00,S009,C001165,store
O0000055,2024-01-01 11:48:00,S027,C001709,ecom
O0000056,2024-01-01 13:58:00,S011,C000367,store
O0000057,2024-01-01 12:22:00,S025,C001512,ecom
O0000058,2024-01-01 09:10:00,S001,C002284,ecom
O0000059,2024-01-01 16:10:00,S002,C001684,ecom
O0000060,2024-01-01 17:59:00,S005,C001917,store
O0000061,2024-01-01 20:46:00,S001,C001322,store
O0000062,2024-01-01 18:26:00,S002,C001397,ecom
O0000063,2024-01-01 09:24:00,S011,C002301,store
O0000064,2024-01-01 19:01:00,S023,C002363,ecom
O0000065,2024-01-01 17:57:00,S005,C000253,store
O0000066,2024-01-01 09:47:00,S017,C002414,ecom
O0000067,2024-01-01 20:32:00,S007,C000022,store
O0000068,2024-01-01 15:21:00,S009,C000949,store
O0000069,2024-01-01 19:36:00,S016,C002456,ecom
O0000070,2024-01-01 09:42:00,S014,C002099,store
O0000071,2024-01-01 20:22:00,S009,C000827,store
O0000072,2024-01-01 17:11:00,S010,C001506,ecom
O0000073,2024-01-01 13:45:00,S004,C001612,ecom
O0000074,2024-01-01 12:31:00,S022,C002032,ecom
O0000075,2024-01-01 09:19:00,S013,C001202,store
O0000076,2024-01-01 13:23:00,S025,C002069,store
O0000077,2024-01-01 11:17:00,S025,C000472,store
O0000078,2024-01-01 11:19:00,S011,C002426,store
O0000079,2024-01-01 18:35:00,S015,C000316,ecom
O0000080,2024-01-01 12:19:00,S012,C001969,ecom
O0000081,2024-01-01 14:18:00,S013,C000241,store
O0000082,2024-01-01 10:24:00,S017,C000490,store
O0000083,2024-01-01 15:16:00,S007,C001110,ecom
O0000084,2024-01-01 17:14:00,S003,C002346,ecom
O0000085,2024-01-01 15:22:00,S002,C000560,store
O0000086,2024-01-01 11:35:00,S010,C000201,store
O0000087,2024-01-01 14:40:00,S010,C001725,store
O0000088,2024-01-01 15:49:00,S012,C001942,store
O0000089,2024-01-01 19:04:00,S012,C002272,store
O0000090,2024-01-01 20:10:00,S004,C000829,ecom
O0000091,2024-01-01 11:51:00,S001,C001937,store
O0000092,2024-01-01 20:05:00,S012,C000755,ecom
O0000093,2024-01-01 13:22:00,S029,C001374,store
O0000094,2024-01-01 11:48:00,S017,C002111,ecom
O0000095,2024-01-01 17:28:00,S001,C000490,store
O0000096,2024-01-01 13:05:00,S007,C002407,store
O0000097,2024-01-01 16:06:00,S011,C000436,store
O0000098,2024-01-01 09:38:00,S012,C002264,store
O0000099,2024-01-01 13:28:00,S009,C002467,store
O0000100,2024-01-01 20:56:00,S020,C001090,ecom
O0000101,2024-01-01 16:03:00,S017,C001398,store
O0000102,2024-01-01 20:48:00,S023,C002067,ecom
O0000103,2024-01-01 13:49:00,S005,C001302,ecom
O0000104,2024-01-01 09:06:00,S005,C001420,ecom
O0000105,2024-01-01 09:18:00,S011,C002209,ecom
O0000106,2024-01-01 18:13:00,S021,C002108,store
O0000107,2024-01-01 13:13:00,S023,C002145,store
O0000108,2024-01-01 13:52:00,S023,C000605,store
O0000109,2024-01-01 15:36:00,S026,C002359,store
O0000110,2024-01-01 20:15:00,S006,C002134,store
O0000111,2024-01-01 13:40:00,S001,C001279,ecom
O0000112,2024-01-01 09:30:00,S010,C000279,store
O0000113,2024-01-01 12:02:00,S018,C001106,store
O0000114,2024-01-01 13:46:00,S005,C002161,ecom
O0000115,2024-01-01 15:39:00,S013,C001999,store
O0000116,2024-01-01 16:15:00,S017,C000581,ecom
O0000117,2024-01-01 13:02:00,S025,C001487,store
O0000118,2024-01-01 19:21:00,S030,C002028,store
O0000119,2024-01-01 13:34:00,S010,C001845,store
O0000120,2024-01-01 12:03:00,S007,C000446,ecom
O0000121,2024-01-01 09:29:00,S009,C001146,store
O0000122,2024-01-01 10:39:00,S007,C000705,ecom
O0000123,2024-01-01 14:15:00,S006,C000469,store
O0000124,2024-01-01 14:46:00,S006,C002308,store
O0000125,2024-01-01 20:14:00,S002,C000090,store
O0000126,2024-01-01 14:32:00,S016,C000495,store
O0000127,2024-01-01 14:23:00,S023,C000866,store
O0000128,2024-01-01 11:34:00,S030,C000845,store
O0000129,2024-01-01 15:44:00,S018,C000127,ecom
O0000130,2024-01-01 18:32:00,S014,C001714,ecom
O0000131,2024-01-01 13:04:00,S026,C001770,ecom
O0000132,2024-01-01 15:58:00,S009,C000388,ecom
O0000133,2024-01-01 11:42:00,S011,C001431,store
O0000134,2024-01-02 20:34:00,S020,C000310,ecom
O0000135,2024-01-02 12:00:00,S009,C001591,ecom
O0000136,2024-01-02 11:53:00,S008,C001743,ecom
O0000137,2024-01-02 15:39:00,S029,C001133,ecom
O0000138,2024-01-02 14:01:00,S019,C001561,store
O0000139,2024-01-02 20:02:00,S011,C000375,store
O0000140,2024-01-02 14:43:00,S006,C000013,ecom
O0000141,2024-01-02 17:23:00,S030,C001881,ecom
O0000142,2024-01-02 18:20:00,S027,C002162,store
O0000143,2024-01-02 13:23:00,S012,C000634,store
O0000144,2024-01-02 13:40:00,S003,C001275,store
O0000145,2024-01-02 17:22:00,S016,C002334,store
O0000146,2024-01-02 11:53:00,S009,C002095,store
O0000147,2024-01-02 11:28:00,S011,C000818,ecom
O0000148,2024-01-02 15:28:00,S014,C001452,ecom
O0000149,2024-01-02 12:46:00,S026,C002100,ecom
O0000150,2024-01-02 15:24:00,S022,C000342,store
O0000151,2024-01-02 16:37:00,S026,C001515,ecom
O0000152,2024-01-02 13:52:00,S008,C001047,store
O0000153,2024-01-02 15:14:00,S002,C001413,store
O0000154,2024-01-02 18:53:00,S001,C002137,ecom
O0000155,2024-01-02 17:02:00,S026,C001132,ecom
O0000156,2024-01-02 10:46:00,S001,C002262,store
O0000157,2024-01-02 11:03:00,S018,C002191,store
O0000158,2024-01-02 10:24:00,S024,C002048,store
O0000159,2024-01-02 19:09:00,S010,C001844,ecom
O0000160,2024-01-02 09:44:00,S022,C002444,ecom
O0000161,2024-01-02 18:47:00,S027,C000779,ecom
O0000162,2024-01-02 13:01:00,S030,C000788,ecom
O0000163,2024-01-02 14:10:00,S009,C002301,store
O0000164,2024-01-02 12:21:00,S003,C000103,store
O0000165,2024-01-02 12:12:00,S015,C002268,ecom
O0000166,2024-01-02 15:22:00,S006,C001134,ecom
O0000167,2024-01-02 20:30:00,S005,C000284,store
O0000168,2024-01-02 20:18:00,S005,C001094,ecom
O0000169,2024-01-02 11:25:00,S029,C001361,ecom
O0000170,2024-01-02 15:25:00,S007,C002262,store
O0000171,2024-01-02 20:33:00,S027,C000087,store
O0000172,2024-01-02 10:11:00,S023,C001370,store
O0000173,2024-01-02 18:04:00,S018,C001656,store
O0000174,2024-01-02 14:44:00,S026,C001274,store
O0000175,2024-01-02 09:14:00,S030,C000973,store
O0000176,2024-01-02 19:24:00,S025,C002172,ecom
O0000177,2024-01-02 14:41:00,S028,C001677,store
O0000178,2024-01-02 12:57:00,S010,C001463,ecom
O0000179,2024-01-02 20:08:00,S016,C000385,store
O0000180,2024-01-02 17:51:00,S028,C002100,store
O0000181,2024-01-02 18:56:00,S019,C001026,store
O0000182,2024-01-02 12:08:00,S014,C001253,store
O0000183,2024-01-02 15:00:00,S013,C002098,store
O0000184,2024-01-02 19:44:00,S021,C001529,ecom
O0000185,2024-01-02 10:47:00,S001,C000652,store
