sku,upc,brand,category,subcategory,size,cost,list_price,status,effective_from
SKU00001,894929525787,Ember,Footwear,Sneakers,M,20.02,32.38,Active,2024-01-01 00:00:00
SKU00002,886218131791,Cascade,Footwear,Sneakers,S,22.95,57.3,Active,2024-01-01 00:00:00
SKU00003,407528523442,Harbor,Apparel,Tops,L,19.34,28.95,Active,2024-01-01 00:00:00
SKU00004,666878445448,Harbor,Accessories,Belts,XL,9.51,22.35,Active,2024-01-01 00:00:00
SKU00005,758696008565,Gale,Accessories,Belts,One-Size,5.18,8.67,Active,2024-01-01 00:00:00
SKU00006,284985884690,Dawn,Footwear,Boots,XS,22.21,31.28,Active,2024-01-01 00:00:00
SKU00007,136772731332,Aster,Accessories,Hats,S,12.89,32.91,Active,2024-01-01 00:00:00
SKU00008,633301009483,Aster,Accessories,Bags,S,14.83,26.23,Active,2024-01-01 00:00:00
SKU00009,531216127108,Fjord,Footwear,Sneakers,M,21.87,52.68,Active,2024-01-01 00:00:00
SKU00010,739138234730,Dawn,Apparel,Tops,XL,22.61,32.93,Active,2024-01-01 00:00:00
SKU00011,804159172245,Fjord,Apparel,Outerwear,XL,17.51,31.25,Active,2024-01-01 00:00:00
SKU00012,634146486120,Cascade,Accessories,Socks,L,6.48,9.88,Active,2024-01-01 00:00:00
SKU00013,492786609757,Dawn,Apparel,Outerwear,XL,15.96,31.04,Active,2024-01-01 00:00:00
SKU00014,144528578624,Dawn,Apparel,Bottoms,One-Size,17.1,33.74,Discontinued,2024-01-01 00:00:00
SKU00015,610565502498,Boreal,Footwear,Sandals,L,25.51,66.48,Active,2024-01-01 00:00:00
SKU00016,474491161105,Ember,Apparel,Tops,S,20.2,33.83,Active,2024-01-01 00:00:00
SKU00017,935664440979,Gale,Footwear,Boots,XL,22.2,37.58,Active,2024-01-01 00:00:00
SKU00018,560928104286,Boreal,Accessories,Belts,S,11.75,20.66,Active,2024-01-01 00:00:00
SKU00019,315140987465,Ember,Accessories,Bags,S,14.15,23.04,Active,2024-01-01 00:00:00
SKU00020,897254269994,Boreal,Apparel,Tops,M,19.96,42.57,Active,2024-01-01 00:00:00
SKU00021,492070576440,Aster,Apparel,Tops,S,21.44,49.41,Active,2024-01-01 00:00:00
SKU00022,657159956382,Boreal,Accessories,Belts,M,10.6,28.83,Active,2024-01-01 00:00:00
SKU00023,304228441433,Cascade,Footwear,Boots,XL,23.51,57.22,Active,2024-01-01 00:00:00
SKU00024,348423852315,Fjord,Apparel,Dresses,One-Size,19.95,39.92,Active,2024-01-01 00:00:00
SKU00025,131870335681,Boreal,Apparel,Tops,L,18.13,42.44,Active,2024-01-01 00:00:00
SKU00026,864212759234,Cascade,Footwear,Boots,XS,28.01,45.44,Active,2024-01-01 00:00:00
SKU00027,619502314520,Aster,Accessories,Hats,One-Size,8.1,11.75,Active,2024-01-01 00:00:00
SKU00028,293470539342,Fjord,Apparel,Outerwear,XS,14.87,35.88,Active,2024-01-01 00:00:00
SKU00029,124506586288,Aster,Apparel,Dresses,L,18.21,36.29,Active,2024-01-01 00:00:00
SKU00030,160082646094,Gale,Accessories,Socks,XL,9.58,17.63,Active,2024-01-01 00:00:00
SKU00031,582564615683,Boreal,Apparel,Tops,One-Size,18.97,49.75,Active,2024-01-01 00:00:00
SKU00032,107222241110,Fjord,Footwear,Boots,L,26.13,45.69,Discontinued,2024-01-01 00:00:00
SKU00033,671025245623,Harbor,Accessories,Socks,L,10.76,24.44,Active,2024-01-01 00:00:00
SKU00034,584534334068,Ember,Apparel,Tops,XL,25.34,45.57,Active,2024-01-01 00:00:00
SKU00035,824950164969,Boreal,Apparel,Bottoms,L,34.51,57.12,Active,2024-01-01 00:00:00
SKU00036,807267254687,Ember,Accessories,Socks,XS,15.82,42.54,Active,2024-01-01 00:00:00
SKU00037,986046203549,Cascade,Apparel,Bottoms,M,14.43,30.33,Active,2024-01-01 00:00:00
SKU00038,881965138795,Dawn,Footwear,Boots,M,22.05,50.53,Active,2024-01-01 00:00:00
SKU00039,544662385417,Gale,Footwear,Sneakers,S,31.34,59.8,Active,2024-01-01 00:00:00
SKU00040,384071825107,Fjord,Footwear,Sneakers,S,18.22,46.34,Active,2024-01-01 00:00:00
SKU00041,542996768130,Aster,Footwear,Boots,One-Size,19.41,31.32,Active,2024-01-01 00:00:00
SKU00042,954305278795,Boreal,Footwear,Sneakers,L,27.28,72.45,Active,2024-01-01 00:00:00
SKU00043,453795077310,Gale,Apparel,Dresses,One-Size,24.13,50.54,Active,2024-01-01 00:00:00
SKU00044,912005313216,Harbor,Accessories,Hats,M,16.43,26.97,Active,2024-01-01 00:00:00
SKU00045,543558419844,Aster,Apparel,Outerwear,One-Size,19.14,35.31,Active,2024-01-01 00:00:00
SKU00046,635835352881,Ember,Accessories,Hats,One-Size,11.26,23.8,Active,2024-01-01 00:00:00
SKU00047,222782095064,Gale,Apparel,Bottoms,L,30.28,79.17,Active,2024-01-01 00:00:00
SKU00048,792909144493,Cascade,Footwear,Sneakers,XS,35.43,89.12,Discontinued,2024-01-01 00:00:00
SKU00049,334272364133,Boreal,Apparel,Dresses,One-Size,21.35,49.27,Active,2024-01-01 00:00:00
SKU00050,565191505937,Boreal,Accessories,Hats,One-Size,9.35,25.95,Active,2024-01-01 00:00:00
SKU00051,627679128709,Cascade,Footwear,Boots,One-Size,21.15,57.83,Active,2024-01-01 00:00:00
SKU00052,149530594410,Aster,Footwear,Sandals,S,25.94,57.74,Active,2024-01-01 00:00:00
SKU00053,969804512077,Cascade,Footwear,Sandals,L,26.92,49.62,Active,2024-01-01 00:00:00
SKU00054,498961679432,Boreal,Accessories,Belts,L,12.05,33.33,Discontinued,2024-01-01 00:00:00
SKU00055,594819317988,Cascade,Accessories,Socks,L,24.5,66.78,Active,2024-01-01 00:00:00
SKU00056,566272321527,Gale,Accessories,Bags,XL,21.74,38.71,Active,2024-01-01 00:00:00
SKU00057,639754213993,Harbor,Accessories,Hats,M,19.41,34.63,Active,2024-01-01 00:00:00
SKU00058,881804205231,Boreal,Apparel,Tops,S,33.62,55.01,Active,2024-01-01 00:00:00
SKU00059,186289865132,Ember,Footwear,Sneakers,XL,18.63,43.48,Discontinued,2024-01-01 00:00:00
SKU00060,116284860170,Aster,Footwear,Boots,M,30.63,76.86,Active,2024-01-01 00:00:00
SKU00061,307353646056,Fjord,Apparel,Dresses,XL,13.6,23.77,Active,2024-01-01 00:00:00
SKU00062,392222686086,Aster,Footwear,Boots,S,21.8,38.63,Active,2024-01-01 00:00:00
SKU00063,265970348478,Aster,Apparel,Dresses,S,13.32,26.13,Active,2024-01-01 00:00:00
SKU00064,587927729168,Harbor,Accessories,Belts,S,14.1,30.98,Discontinued,2024-01-01 00:00:00
