promo_id,sku,rule_type
P0001,SKU00187,inclusion
P0001,SKU00216,inclusion
P0001,SKU00241,inclusion
P0001,SKU00295,inclusion
P0001,SKU00240,inclusion
P0001,SKU00015,inclusion
P0001,SKU00002,inclusion
P0001,SKU00386,inclusion
P0001,SKU00211,inclusion
P0001,SKU00175,inclusion
P0001,SKU00226,inclusion
P0001,SKU00299,inclusion
P0001,SKU00383,inclusion
P0001,SKU00051,inclusion
P0001,SKU00159,inclusion
P0001,SKU00380,inclusion
P0001,SKU00317,inclusion
P0001,SKU00204,inclusion
P0001,SKU00096,inclusion
P0001,SKU00375,inclusion
P0001,SKU00309,inclusion
P0001,SKU00006,inclusion
P0001,SKU00146,inclusion
P0001,SKU00246,inclusion
P0001,SKU00121,inclusion
P0001,SKU00059,inclusion
P0001,SKU00313,inclusion
P0001,SKU00136,inclusion
P0001,SKU00370,inclusion
P0001,SKU00041,inclusion
P0001,SKU00220,inclusion
P0001,SKU00315,inclusion
P0001,SKU00080,inclusion
P0001,SKU00271,inclusion
P0001,SKU00171,inclusion
P0001,SKU00178,inclusion
P0001,SKU00095,inclusion
P0001,SKU00312,inclusion
P0001,SKU00039,inclusion
P0001,SKU00343,inclusion
P0001,SKU00284,inclusion
P0001,SKU00385,inclusion
P0001,SKU00247,inclusion
P0001,SKU00303,inclusion
P0001,SKU00094,inclusion
P0001,SKU00073,inclusion
P0001,SKU00243,inclusion
P0001,SKU00222,inclusion
P0001,SKU00154,inclusion
P0001,SKU00137,inclusion
P0001,SKU00230,inclusion
P0001,SKU00062,inclusion
P0001,SKU00174,inclusion
P0001,SKU00053,inclusion
P0001,SKU00038,inclusion
P0001,SKU00086,inclusion
P0001,SKU00098,inclusion
P0001,SKU00358,inclusion
P0001,SKU00351,inclusion
P0001,SKU00185,inclusion
P0002,SKU00298,inclusion
P0003,SKU00309,inclusion
P0003,SKU00089,inclusion
P0003,SKU00015,inclusion
P0003,SKU00332,inclusion
P0003,SKU00287,inclusion
P0003,SKU00175,inclusion
P0003,SKU00094,inclusion
P0003,SKU00214,inclusion
P0003,SKU00141,inclusion
P0003,SKU00299,inclusion
P0003,SKU00198,inclusion
P0003,SKU00308,inclusion
P0003,SKU00230,inclusion
P0003,SKU00107,inclusion
P0003,SKU00229,inclusion
P0003,SKU00116,inclusion
P0003,SKU00173,inclusion
P0003,SKU00111,inclusion
