promo_id,name,type,benefit_type,benefit_value,min_threshold,max_uses_per_cust,start_ts,end_ts,channels_allowed,inclusion_rule_json,exclusion_rule_json,created_by,created_ts,status
P0001,Promo 0001,Item,PCT,30.0,100.0,5,2024-02-15 00:00:00,2024-02-25 00:00:00,"store,ecom","{""type"": ""category"", ""value"": ""Footwear""}",{},mktg_amy,2024-01-31 00:00:00,Active
P0002,Promo 0002,Basket,PCT,5.0,100.0,4,2024-03-18 00:00:00,2024-03-21 00:00:00,ecom,"{""type"": ""sku"", ""value"": ""SKU00298""}",{},ops_cara,2024-03-09 00:00:00,Active
P0003,Promo 0003,Item,PCT,25.0,0.0,5,2024-04-24 00:00:00,2024-05-08 00:00:00,"store,ecom","{""type"": ""subcategory"", ""value"": ""Sandals""}",{},mktg_amy,2024-03-31 00:00:00,Active
P0004,Promo 0004,Item,PCT,10.0,75.0,2,2024-05-30 00:00:00,2024-06-04 00:00:00,store,"{""type"": ""brand"", ""value"": ""Boreal""}",{},ops_dan,2024-05-23 00:00:00,Active
P0005,Promo 0005,Item,PCT,15.0,50.0,2,2024-09-13 00:00:00,2024-09-20 00:00:00,"store,ecom","{""type"": ""subcategory"", ""value"": ""Bottoms""}",{},mktg_amy,2024-08-25 00:00:00,Active
P0006,Promo 0006,Basket,PCT,25.0,75.0,1,2024-08-26 00:00:00,2024-09-01 00:00:00,store,"{""type"": ""category"", ""value"": ""Footwear""}",{},ops_dan,2024-08-16 00:00:00,Active
P0007,Promo 0007,Basket,BOGO,15.0,25.0,2,2024-11-12 00:00:00,2024-11-18 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Boreal""}",{},ops_dan,2024-10-28 00:00:00,Active
P0008,Promo 0008,Item,BOGO,5.0,75.0,2,2024-04-30 00:00:00,2024-05-12 00:00:00,store,"{""type"": ""category"", ""value"": ""Accessories""}",{},mktg_amy,2024-04-24 00:00:00,Active
P0009,Promo 0009,Basket,CASH,5.0,75.0,5,2024-09-29 00:00:00,2024-10-04 00:00:00,store,"{""type"": ""category"", ""value"": ""Accessories""}",{},mktg_ben,2024-09-19 00:00:00,Active
P0010,Promo 0010,Basket,PCT,10.0,50.0,3,2024-01-15 00:00:00,2024-01-23 00:00:00,"store,ecom","{""type"": ""subcategory"", ""value"": ""Socks""}",{},ops_cara,2023-12-23 00:00:00,Active
P0011,Promo 0011,Basket,PCT,10.0,75.0,2,2024-01-27 00:00:00,2024-02-10 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00329""}",{},ops_cara,2024-01-10 00:00:00,Active
P0012,Promo 0012,Basket,PCT,25.0,0.0,3,2024-04-15 00:00:00,2024-04-21 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00369""}",{},ops_dan,2024-04-09 00:00:00,Active
P0013,Promo 0013,Item,CASH,15.0,100.0,2,2024-01-07 00:00:00,2024-01-16 00:00:00,ecom,"{""type"": ""brand"", ""value"": ""Ember""}",{},ops_dan,2023-12-27 00:00:00,Active
P0014,Promo 0014,Basket,CASH,5.0,100.0,1,2024-05-06 00:00:00,2024-05-10 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Cascade""}",{},ops_cara,2024-04-13 00:00:00,Active
P0015,Promo 0015,Basket,PCT,25.0,100.0,5,2024-10-12 00:00:00,2024-10-18 00:00:00,ecom,"{""type"": ""sku"", ""value"": ""SKU00231""}",{},mktg_ben,2024-09-27 00:00:00,Active
P0016,Promo 0016,Basket,CASH,15.0,0.0,3,2024-10-10 00:00:00,2024-10-16 00:00:00,"store,ecom","{""type"": ""sku"", ""value"": ""SKU00215""}",{},ops_cara,2024-09-23 00:00:00,Active
P0017,Promo 0017,Basket,PCT,30.0,50.0,3,2024-10-19 00:00:00,2024-11-02 00:00:00,"store,ecom","{""type"": ""category"", ""value"": ""Accessories""}",{},ops_dan,2024-10-11 00:00:00,Active
P0018,Promo 0018,Item,PCT,25.0,25.0,1,2024-07-19 00:00:00,2024-07-22 00:00:00,ecom,"{""type"": ""category"", ""value"": ""Apparel""}",{},mktg_amy,2024-07-06 00:00:00,Active
P0019,Promo 0019,Item,PCT,20.0,100.0,5,2024-09-11 00:00:00,2024-09-14 00:00:00,ecom,"{""type"": ""sku"", ""value"": ""SKU00001""}",{},mktg_amy,2024-08-20 00:00:00,Active
P0020,Promo 0020,Item,PCT,15.0,25.0,2,2024-10-07 00:00:00,2024-10-12 00:00:00,store,"{""type"": ""brand"", ""value"": ""Ember""}",{},ops_dan,2024-10-01 00:00:00,Active
P0021,Promo 0021,Basket,PCT,15.0,50.0,5,2024-02-06 00:00:00,2024-02-12 00:00:00,"store,ecom","{""type"": ""brand"", ""value"": ""Ember""}",{},mktg_ben,2024-01-21 00:00:00,Active
P0022,Promo 0022,Item,PCT,20.0,100.0,5,2024-01-08 00:00:00,2024-01-11 00:00:00,store,"{""type"": ""brand"", ""value"": ""Harbor""}",{},ops_cara,2023-12-26 00:00:00,Active
