store_id,name,region,format,opened_date,closed_date
S001,Store 001,Midwest,Flagship,2022-09-24,
S002,Store 002,Midwest,Street,2021-01-09,
S003,Store 003,East,Flagship,2021-01-20,
S004,Store 004,East,Mall,2021-09-23,
S005,Store 005,Midwest,Outlet,2021-07-17,
S006,Store 006,East,Mall,2018-11-29,
S007,Store 007,West,Flagship,2022-08-25,
S008,Store 008,Midwest,Street,2019-08-07,
S009,Store 009,West,Mall,2020-04-30,
S010,Store 010,West,Mall,2022-12-22,
S011,Store 011,East,Street,2019-09-14,
S012,Store 012,West,Flagship,2022-06-17,
S013,Store 013,South,Flagship,2019-11-20,
S014,Store 014,East,Street,2022-11-25,
S015,Store 015,South,Flagship,2021-12-11,
S016,Store 016,West,Mall,2021-06-14,
S017,Store 017,Midwest,Outlet,2019-09-30,
S018,Store 018,Midwest,Mall,2020-06-19,
S019,Store 019,South,Outlet,2019-07-01,
S020,Store 020,East,Outlet,2018-05-21,
S021,Store 021,West,Mall,2020-11-27,
S022,Store 022,West,Flagship,2022-03-06,
S023,Store 023,West,Outlet,2021-06-09,
S024,Store 024,Midwest,Mall,2022-02-01,
S025,Store 025,West,Mall,2021-01-10,
S026,Store 026,East,Street,2021-01-20,
S027,Store 027,West,Flagship,2019-02-13,
S028,Store 028,Midwest,Flagship,2019-05-20,
S029,Store 029,Midwest,Mall,2019-10-20,
S030,Store 030,East,Outlet,2022-05-23,
